noise_vec,Ξ_sindy_err,Ξ_gpsindy_err,Ξ_nn_err,x_sindy_err,x_gpsindy_err,x_nn_err
0.05,0.0601236232356266,0.07965586732290407,2.4533452616649085,3.140251804023835,3.126928147451448,2.5241392682135193
0.05,0.028721635691053397,0.0874193918948653,2.394480540576923,5.369707580796306,5.611051318920716,5.18057903074532
0.05,0.09028230540244164,0.036329288836265086,2.542139539045595,3.2843603347269874,3.8120138798713628,44.833666356896885
0.05,0.04992817814202951,0.06942466131915023,2.3663184565685094,2.6037955335059326,2.8975449904011628,5.447930055539222
0.05,0.2972087319696044,0.3123477801374681,2.332682780912676,15.445155682631665,21.07461139658914,15.82221759076624
0.1,0.6529217292450815,0.2181883927659122,3.9034300026241233,4.702612969365982,6.503986359196138,5.666460461936354
0.1,0.7330140757087302,0.09489230386412098,2.3702041661404145,77.21959155646744,2.0388964396545135,12.342430597366246
0.1,0.3038583054256773,0.13212372177772885,2.5299800814063147,3.2519750614568737,4.5346790100618275,1.562878560991736
0.1,0.48392327445659694,0.13623674787056175,2.5311496282000725,2.5367674088292973,3.0981088419534553,2.900192426277157
0.1,0.5936261059751301,0.11779369802466313,2.825421535353191,1.2523435646506995,3.005007860020871,31.702009409482176
0.15,1.6373569690097771,0.13746154476902508,2.9170584004585227,28.050856181942695,4.081377357147803,1.4357599445465672
0.15,1.2386411338156527,0.7519958654039385,4.255677022008497,26.15994439000813,56.05491235294814,3.7500822727692906
0.15,0.7635213090345739,0.1618062803989975,3.084468049442698,9.173140431776876,4.324221254334611,3.461413615471334
0.15,0.7128131703013463,0.09781507255442905,3.534417798888237,18.43206035851839,2.642733670937151,1.2461836718429746
0.15,1.0519077887274935,0.2136063734951714,3.946466625083278,13.197606805101985,0.9847198157447459,4.476620569329901
0.2,1.0550006127910307,0.30143482763055784,3.3812328472182056,113.22796147519732,2.8472498725649706,4.997371804494692
0.2,1.9551262954450945,0.31751949707534444,3.003518416910356,17.17143066936334,4.22463726663776,5.737201652357534
0.2,1.7984003478031796,0.20132208951154684,4.5076312525016125,NaN,6.016965624133791,15.932221120926854
0.2,2.665176125004972,0.2022188833844136,3.0178073653857407,NaN,3.142075034851217,1.4132866787070917
0.2,1.8128895357840682,0.39349286868542066,4.0237140717554745,NaN,13.670639274296047,5.734953773850802
0.25,2.0551168975669363,0.28458718249406323,3.3038498780944994,44.767062299340246,2.5855060217287087,63.60387894497336
0.25,2.0749928106497757,0.5023010322445997,3.2353858839313423,NaN,12.627529187178043,3.83559555013227
0.25,2.334794448807428,0.9789441246258008,3.657597867396983,44.554197112729256,81.2540181484722,9.114184419551876
0.25,1.6508329015043812,0.6619155469625073,3.244454221978191,8.03888204469234,10.692544456048136,4.3698648877473385
0.25,2.1788805642498112,0.23817288381004598,3.2641407175206796,43.80400808252522,40.77494193857603,7.848699031290547
